Name,Type,Location,Price
Bistro Chi-Q,Korean,Gorden Head,$$
Koto Sushi,Japanese,Downtown,$$
Fisherman's wharf,Western,Downtown,$$$
Shiki Sushi,Japanese,Downtown,$$$
KFC,Western,Saanich,$
OX King Noodles,Chinese,Downtown,$$
Don Mee,Chinese,Downtown,$$$
YuaBistro,Japanese,Downtown,$$$
Kuma Ramen,Japanese,Gorden Head,$$
10 Acres Kitchen,Western,Downtown,$$$
Ithaka Greek,Western,Downtown,$$
Sen Zushi,Japanese,Downtown,$$$
Denny's,Western,Saanich,$$
Patisserie Daniel,Dessert,Downtown,$$
Biryani Palace,Other,Downtown,$$
Vietnam House Restaurant,Other,Saanich,$
Red Robin,Western,Saanich,$$
Ramen Arashi,Japanese,Saanich,$$
Food Court,Other,Other,$
Naughty Nellie's,Western,Gorden Head,$$
Dominos,Western,Gorden Head,$
Subway,Western,Gorden Head,$
Popeye,Western,Gorden Head,$
Mucho Burrito,Western,Gorden Head,$
"Phonomenal ",Other,Gorden Head,$$
Little Thai Place,Other,Gorden Head,$
A&W,Western,Gorden Head,$$
LaiLa LaiLa,Dessert,Gorden Head,$
Hongkong West,Chinese,Saanich,$$
